AUD/USD;
Date;Clôture
13/03/2018; $0,79 
14/03/2018; $0,79 
15/03/2018; $0,78 
16/03/2018; $0,77 
19/03/2018; $0,77 
20/03/2018; $0,77 
21/03/2018; $0,78 
22/03/2018; $0,77 
23/03/2018; $0,77 
26/03/2018; $0,77 
27/03/2018; $0,77 
28/03/2018; $0,77 
29/03/2018; $0,77 
30/03/2018; $0,77 
02/04/2018; $0,77 
03/04/2018; $0,77 
04/04/2018; $0,77 
05/04/2018; $0,77 
06/04/2018; $0,77 
09/04/2018; $0,77 
10/04/2018; $0,78 
11/04/2018; $0,78 
12/04/2018; $0,78 
13/04/2018; $0,78 
16/04/2018; $0,78 
17/04/2018; $0,78 
18/04/2018; $0,78 
19/04/2018; $0,77 
20/04/2018; $0,77 
23/04/2018; $0,76 
24/04/2018; $0,76 
25/04/2018; $0,76 
26/04/2018; $0,76 
27/04/2018; $0,76 
30/04/2018; $0,75 
01/05/2018; $0,75 
02/05/2018; $0,75 
03/05/2018; $0,75 
04/05/2018; $0,75 
07/05/2018; $0,75 
08/05/2018; $0,75 
09/05/2018; $0,75 
10/05/2018; $0,75 
11/05/2018; $0,75 
14/05/2018; $0,75 
15/05/2018; $0,75 
16/05/2018; $0,75 
17/05/2018; $0,75 
18/05/2018; $0,75 
21/05/2018; $0,76 
22/05/2018; $0,76 
23/05/2018; $0,76 
24/05/2018; $0,76 
25/05/2018; $0,75 
28/05/2018; $0,75 
29/05/2018; $0,75 
30/05/2018; $0,76 
31/05/2018; $0,76 
01/06/2018; $0,76 
04/06/2018; $0,76 
05/06/2018; $0,76 
06/06/2018; $0,77 
07/06/2018; $0,76 
08/06/2018; $0,76 
11/06/2018; $0,76 
12/06/2018; $0,76 
13/06/2018; $0,76 
14/06/2018; $0,75 
15/06/2018; $0,74 
18/06/2018; $0,74 
19/06/2018; $0,74 
20/06/2018; $0,74 
21/06/2018; $0,74 
22/06/2018; $0,74 
25/06/2018; $0,74 
26/06/2018; $0,74 
27/06/2018; $0,73 
28/06/2018; $0,74 
29/06/2018; $0,74 
02/07/2018; $0,73 
03/07/2018; $0,74 
04/07/2018; $0,74 
05/07/2018; $0,74 
06/07/2018; $0,74 
09/07/2018; $0,75 
10/07/2018; $0,75 
11/07/2018; $0,74 
12/07/2018; $0,74 
13/07/2018; $0,74 
16/07/2018; $0,74 
17/07/2018; $0,74 
18/07/2018; $0,74 
19/07/2018; $0,74 
20/07/2018; $0,74 
23/07/2018; $0,74 
24/07/2018; $0,74 
25/07/2018; $0,75 
26/07/2018; $0,74 
27/07/2018; $0,74 
30/07/2018; $0,74 
31/07/2018; $0,74 
01/08/2018; $0,74 
02/08/2018; $0,74 
03/08/2018; $0,74 
06/08/2018; $0,74 
07/08/2018; $0,74 
08/08/2018; $0,74 
09/08/2018; $0,74 
10/08/2018; $0,73 
13/08/2018; $0,73 
14/08/2018; $0,72 
15/08/2018; $0,72 
16/08/2018; $0,73 
17/08/2018; $0,73 
20/08/2018; $0,73 
21/08/2018; $0,74 
22/08/2018; $0,73 
23/08/2018; $0,72 
24/08/2018; $0,73 
27/08/2018; $0,74 
28/08/2018; $0,73 
29/08/2018; $0,73 
30/08/2018; $0,73 
31/08/2018; $0,72 
03/09/2018; $0,72 
04/09/2018; $0,72 
05/09/2018; $0,72 
06/09/2018; $0,72 
07/09/2018; $0,71 
10/09/2018; $0,71 
11/09/2018; $0,71 
12/09/2018; $0,72 
13/09/2018; $0,72 
14/09/2018; $0,72 
17/09/2018; $0,72 
18/09/2018; $0,72 
19/09/2018; $0,73 
20/09/2018; $0,73 
21/09/2018; $0,73 
24/09/2018; $0,73 
25/09/2018; $0,73 
26/09/2018; $0,73 
27/09/2018; $0,72 
28/09/2018; $0,72 
01/10/2018; $0,72 
02/10/2018; $0,72 
03/10/2018; $0,71 
04/10/2018; $0,71 
05/10/2018; $0,71 
08/10/2018; $0,71 
09/10/2018; $0,71 
10/10/2018; $0,71 
11/10/2018; $0,71 
12/10/2018; $0,71 
15/10/2018; $0,71 
16/10/2018; $0,71 
17/10/2018; $0,71 
18/10/2018; $0,71 
19/10/2018; $0,71 
22/10/2018; $0,71 
23/10/2018; $0,71 
24/10/2018; $0,71 
25/10/2018; $0,71 
26/10/2018; $0,71 
29/10/2018; $0,71 
30/10/2018; $0,71 
31/10/2018; $0,71 
01/11/2018; $0,72 
02/11/2018; $0,72 
05/11/2018; $0,72 
06/11/2018; $0,72 
07/11/2018; $0,73 
08/11/2018; $0,73 
09/11/2018; $0,72 
12/11/2018; $0,72 
13/11/2018; $0,72 
14/11/2018; $0,72 
15/11/2018; $0,73 
16/11/2018; $0,73 
19/11/2018; $0,73 
20/11/2018; $0,72 
21/11/2018; $0,73 
22/11/2018; $0,73 
23/11/2018; $0,72 
26/11/2018; $0,72 
27/11/2018; $0,72 
28/11/2018; $0,73 
29/11/2018; $0,73 
30/11/2018; $0,73 
03/12/2018; $0,74 
04/12/2018; $0,73 
05/12/2018; $0,73 
06/12/2018; $0,72 
07/12/2018; $0,72 
10/12/2018; $0,72 
11/12/2018; $0,72 
12/12/2018; $0,72 
13/12/2018; $0,72 
14/12/2018; $0,72 
17/12/2018; $0,72 
18/12/2018; $0,72 
19/12/2018; $0,71 
20/12/2018; $0,71 
21/12/2018; $0,70 
24/12/2018; $0,71 
25/12/2018; $0,70 
26/12/2018; $0,71 
27/12/2018; $0,70 
28/12/2018; $0,70 
31/12/2018; $0,70 
01/01/2019; $0,71 
02/01/2019; $0,70 
03/01/2019; $0,70 
04/01/2019; $0,71 
07/01/2019; $0,71 
08/01/2019; $0,71 
09/01/2019; $0,72 
10/01/2019; $0,72 
11/01/2019; $0,72 
14/01/2019; $0,72 
15/01/2019; $0,72 
16/01/2019; $0,72 
17/01/2019; $0,72 
18/01/2019; $0,72 
21/01/2019; $0,72 
23/01/2019; $0,71 
24/01/2019; $0,71 
25/01/2019; $0,72 
28/01/2019; $0,72 
29/01/2019; $0,72 
30/01/2019; $0,72 
31/01/2019; $0,73 
01/02/2019; $0,72 
04/02/2019; $0,72 
05/02/2019; $0,72 
06/02/2019; $0,71 
07/02/2019; $0,71 
08/02/2019; $0,71 
11/02/2019; $0,71 
12/02/2019; $0,71 
13/02/2019; $0,71 
14/02/2019; $0,71 
15/02/2019; $0,71 
18/02/2019; $0,71 
19/02/2019; $0,72 
20/02/2019; $0,72 
21/02/2019; $0,71 
22/02/2019; $0,71 
25/02/2019; $0,72 
26/02/2019; $0,72 
27/02/2019; $0,71 
28/02/2019; $0,71 
01/03/2019; $0,71 
04/03/2019; $0,71 
05/03/2019; $0,71 
06/03/2019; $0,70 
07/03/2019; $0,70 
08/03/2019; $0,70 
11/03/2019; $0,71 
12/03/2019; $0,71 
13/03/2019; $0,71 
14/03/2019; $0,71 
15/03/2019; $0,71 
18/03/2019; $0,71 
19/03/2019; $0,71 
20/03/2019; $0,71 
21/03/2019; $0,71 
22/03/2019; $0,71 
25/03/2019; $0,71 
26/03/2019; $0,71 
27/03/2019; $0,71 
28/03/2019; $0,71 
29/03/2019; $0,71 
01/04/2019; $0,71 
02/04/2019; $0,71 
03/04/2019; $0,71 
04/04/2019; $0,71 
05/04/2019; $0,71 
08/04/2019; $0,71 
09/04/2019; $0,71 
10/04/2019; $0,72 
11/04/2019; $0,71 
12/04/2019; $0,72 
15/04/2019; $0,72 
16/04/2019; $0,72 
17/04/2019; $0,72 
18/04/2019; $0,72 
19/04/2019; $0,72 
22/04/2019; $0,71 
23/04/2019; $0,71 
24/04/2019; $0,70 
25/04/2019; $0,70 
26/04/2019; $0,70 
29/04/2019; $0,71 
30/04/2019; $0,70 
01/05/2019; $0,70 
02/05/2019; $0,70 
03/05/2019; $0,70 
06/05/2019; $0,70 
07/05/2019; $0,70 
08/05/2019; $0,70 
09/05/2019; $0,70 
10/05/2019; $0,70 
13/05/2019; $0,69 
14/05/2019; $0,69 
16/05/2019; $0,69 
17/05/2019; $0,69 
20/05/2019; $0,69 
21/05/2019; $0,69 
22/05/2019; $0,69 
23/05/2019; $0,69 
24/05/2019; $0,69 
27/05/2019; $0,69 
28/05/2019; $0,69 
29/05/2019; $0,69 
30/05/2019; $0,69 
31/05/2019; $0,69 
03/06/2019; $0,70 
04/06/2019; $0,70 
05/06/2019; $0,70 
06/06/2019; $0,70 
07/06/2019; $0,70 
10/06/2019; $0,70 
11/06/2019; $0,70 
12/06/2019; $0,69 
13/06/2019; $0,69 
14/06/2019; $0,69 
17/06/2019; $0,69 
18/06/2019; $0,69 
19/06/2019; $0,69 
20/06/2019; $0,69 
21/06/2019; $0,69 
24/06/2019; $0,70 
25/06/2019; $0,70 
26/06/2019; $0,70 
27/06/2019; $0,70 
28/06/2019; $0,70 
01/07/2019; $0,70 
02/07/2019; $0,70 
03/07/2019; $0,70 
04/07/2019; $0,70 
05/07/2019; $0,70 
