EUR/GBP;
Date;Clôture
01/02/2018; £0,88 
02/02/2018; £0,88 
05/02/2018; £0,89 
06/02/2018; £0,89 
07/02/2018; £0,88 
08/02/2018; £0,88 
09/02/2018; £0,88 
12/02/2018; £0,89 
13/02/2018; £0,89 
14/02/2018; £0,89 
15/02/2018; £0,89 
16/02/2018; £0,88 
19/02/2018; £0,89 
20/02/2018; £0,88 
21/02/2018; £0,88 
22/02/2018; £0,88 
23/02/2018; £0,88 
26/02/2018; £0,88 
27/02/2018; £0,88 
28/02/2018; £0,89 
01/03/2018; £0,89 
02/03/2018; £0,89 
05/03/2018; £0,89 
06/03/2018; £0,89 
07/03/2018; £0,89 
08/03/2018; £0,89 
09/03/2018; £0,89 
12/03/2018; £0,89 
13/03/2018; £0,89 
14/03/2018; £0,89 
15/03/2018; £0,88 
16/03/2018; £0,88 
19/03/2018; £0,88 
20/03/2018; £0,87 
21/03/2018; £0,87 
22/03/2018; £0,87 
23/03/2018; £0,87 
26/03/2018; £0,87 
27/03/2018; £0,88 
28/03/2018; £0,87 
29/03/2018; £0,88 
30/03/2018; £0,88 
02/04/2018; £0,88 
03/04/2018; £0,87 
04/04/2018; £0,87 
05/04/2018; £0,87 
06/04/2018; £0,87 
09/04/2018; £0,87 
10/04/2018; £0,87 
11/04/2018; £0,87 
12/04/2018; £0,87 
13/04/2018; £0,87 
16/04/2018; £0,86 
17/04/2018; £0,87 
18/04/2018; £0,87 
19/04/2018; £0,88 
20/04/2018; £0,88 
23/04/2018; £0,88 
24/04/2018; £0,88 
25/04/2018; £0,87 
26/04/2018; £0,87 
27/04/2018; £0,88 
30/04/2018; £0,88 
01/05/2018; £0,88 
02/05/2018; £0,88 
03/05/2018; £0,88 
