EUR/JPY;
Date;Clôture
16/01/2019; ¥124,32 
17/01/2019; ¥124,45 
18/01/2019; ¥124,70 
21/01/2019; ¥124,62 
23/01/2019; ¥124,71 
24/01/2019; ¥123,94 
25/01/2019; ¥124,93 
28/01/2019; ¥124,92 
29/01/2019; ¥125,02 
30/01/2019; ¥125,12 
31/01/2019; ¥124,61 
01/02/2019; ¥125,40 
04/02/2019; ¥125,67 
05/02/2019; ¥125,49 
06/02/2019; ¥124,91 
07/02/2019; ¥124,56 
08/02/2019; ¥124,29 
11/02/2019; ¥124,43 
12/02/2019; ¥125,11 
13/02/2019; ¥124,97 
14/02/2019; ¥124,76 
15/02/2019; ¥124,72 
18/02/2019; ¥125,07 
19/02/2019; ¥125,43 
20/02/2019; ¥125,64 
21/02/2019; ¥125,47 
22/02/2019; ¥125,52 
25/02/2019; ¥126,14 
26/02/2019; ¥125,99 
27/02/2019; ¥126,17 
28/02/2019; ¥126,63 
01/03/2019; ¥127,28 
04/03/2019; ¥126,68 
05/03/2019; ¥126,50 
06/03/2019; ¥126,33 
07/03/2019; ¥124,88 
08/03/2019; ¥124,91 
11/03/2019; ¥125,07 
12/03/2019; ¥125,67 
13/03/2019; ¥125,88 
14/03/2019; ¥126,24 
15/03/2019; ¥126,22 
18/03/2019; ¥126,31 
19/03/2019; ¥126,39 
20/03/2019; ¥126,30 
21/03/2019; ¥126,00 
22/03/2019; ¥124,34 
25/03/2019; ¥124,36 
26/03/2019; ¥124,60 
27/03/2019; ¥124,22 
28/03/2019; ¥124,19 
29/03/2019; ¥124,33 
01/04/2019; ¥124,83 
02/04/2019; ¥124,70 
03/04/2019; ¥125,23 
04/04/2019; ¥125,27 
05/04/2019; ¥125,29 
08/04/2019; ¥125,50 
09/04/2019; ¥125,15 
10/04/2019; ¥125,13 
11/04/2019; ¥125,61 
12/04/2019; ¥126,58 
15/04/2019; ¥126,67 
16/04/2019; ¥126,32 
17/04/2019; ¥126,55 
18/04/2019; ¥125,72 
19/04/2019; ¥125,85 
22/04/2019; ¥125,99 
23/04/2019; ¥125,56 
24/04/2019; ¥125,09 
25/04/2019; ¥124,23 
26/04/2019; ¥124,39 
29/04/2019; ¥124,85 
30/04/2019; ¥124,96 
01/05/2019; ¥124,67 
02/05/2019; ¥124,61 
03/05/2019; ¥124,42 
06/05/2019; ¥124,02 
07/05/2019; ¥123,36 
08/05/2019; ¥123,21 
09/05/2019; ¥123,10 
10/05/2019; ¥123,50 
13/05/2019; ¥122,67 
14/05/2019; ¥122,85 
16/05/2019; ¥122,71 
17/05/2019; ¥122,83 
20/05/2019; ¥122,90 
21/05/2019; ¥123,28 
22/05/2019; ¥123,05 
23/05/2019; ¥122,52 
24/05/2019; ¥122,43 
27/05/2019; ¥122,60 
28/05/2019; ¥122,05 
29/05/2019; ¥121,96 
30/05/2019; ¥121,98 
31/05/2019; ¥121,05 
03/06/2019; ¥121,46 
04/06/2019; ¥121,67 
05/06/2019; ¥121,67 
06/06/2019; ¥122,21 
07/06/2019; ¥122,58 
10/06/2019; ¥122,66 
11/06/2019; ¥122,92 
12/06/2019; ¥122,45 
13/06/2019; ¥122,19 
14/06/2019; ¥121,65 
17/06/2019; ¥121,76 
18/06/2019; ¥121,36 
19/06/2019; ¥121,32 
20/06/2019; ¥121,14 
21/06/2019; ¥121,96 
24/06/2019; ¥122,28 
25/06/2019; ¥121,79 
26/06/2019; ¥122,51 
27/06/2019; ¥122,54 
28/06/2019; ¥122,64 
01/07/2019; ¥122,36 
02/07/2019; ¥121,72 
03/07/2019; ¥121,59 
04/07/2019; ¥121,63 
05/07/2019; ¥121,71 
08/07/2019; ¥121,89 
09/07/2019; ¥121,97 
10/07/2019; ¥122,01 
11/07/2019; ¥122,07 
12/07/2019; ¥121,58 
15/07/2019; ¥121,46 
16/07/2019; ¥121,30 
17/07/2019; ¥121,14 
18/07/2019; ¥120,96 
19/07/2019; ¥120,84 
22/07/2019; ¥120,89 
23/07/2019; ¥120,68 
24/07/2019; ¥120,49 
25/07/2019; ¥121,07 
26/07/2019; ¥120,88 
29/07/2019; ¥121,21 
30/07/2019; ¥121,11 
31/07/2019; ¥120,42 
01/08/2019; ¥118,95 
02/08/2019; ¥118,38 
05/08/2019; ¥118,67 
06/08/2019; ¥119,23 
07/08/2019; ¥118,98 
08/08/2019; ¥118,55 
09/08/2019; ¥118,32 
12/08/2019; ¥118,04 
13/08/2019; ¥119,21 
14/08/2019; ¥117,94 
